koloniSistemKimlik,kovanNoSnapshot,tarih,citaSayisi,bal_cita,yavruluCita,yavruDuzeni,mizac,beslemeTipi,beslemeYapildi,varroaMucadele,anaAriGoruldu,varroaGoruldu,ogulBelirtisi,ogulAtti,bolmeYapildi,kovanSondu,anaUretimGirisimVarMi,anasizBirakildiMi,anasizBaslangicTarihi,larvaYasiGun,memeDurumu,erkekAriDurumu,ciftlesmeDurumu,anaDegisimPlanlandiMi,notlar,sezon,kaynakKoloniNoNottan,kaynakKoloniSistemKimlikNottan,tureyenKoloniNoListesiNottan,tureyenKoloniSistemKimlikleri,olayTipiOneri,ayristirmaGuveni,ayristirmaNotu
KOL-002,15,2025-08-04,7,,,,,,0,,,,,0,0,0,0,0,,,,,,0,"Yavru güçlü, petek yapıyor, İyi.",uretim,,,,,,yüksek,
KOL-002,15,2025-08-19,8,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,2 çıta fazla gibi. Zayıf ama yavrulu. Varroa. Alt Kapak Takıldı.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-002,15,2025-09-07,8,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Çok kalabalık iyi dürümda. Varroa 1. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-002,15,2025-09-10,8,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 2. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-002,15,2025-09-13,8,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 3. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-002,15,2025-09-15,,,,,,fondan,1,,,,,0,0,0,0,0,,,,,,0,Fondon verildi.,kis,,,,,,yüksek,
KOL-002,15,2025-10-13,9,,,,,,0,,,,,0,0,0,0,0,,,,,,0,Fena değil. Çıta aslında yarı yarıya.,kis,,,,,,yüksek,
KOL-002,15,2025-11-13,6,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Sıkıştırıldı. Çuval. İnvert şurup,kis,,,,,,yüksek,
KOL-002,15,2025-11-17,6,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İnvert Şurup,kis,,,,,,yüksek,
KOL-002,15,2025-11-22,6,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İnvert Şurup,kis,,,,,,yüksek,
KOL-002,15,2026-01-13,6,,,,,,0,oksalik asit damlatma,,,,0,0,0,0,0,,,,,,0,Oksalik asit damlatma,kis,,,,,,yüksek,
KOL-002,15,2026-01-20,6,,,,,,0,oksalik asit sprey,,,,0,0,0,0,0,,,,,,0,Oksalik Asit sprey,kis,,,,,,yüksek,
KOL-002,15,2026-02-24,6,,,kapalı yavru var,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Kapalı yavru var.  1/1 şerbet ile besleme yapıldı.,kis,,,,,,yüksek,
KOL-002,15,2026-02-25,6,,,,,,0,,,,,0,0,0,0,0,,,,,,0,Kapak nemi pürmüz ile kurutuldu.,kis,,,,,,yüksek,
KOL-002,15,2026-03-07,6,,,kapalı yavru var,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Her şey yolunda. Kapalı yavrular var. Az besleme,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-002,15,2026-03-10,6,,,kapalı yavru var,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Her şey yolunda. Kapalı yavrular var. Az besleme,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-002,15,2026-03-12,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,1 kabarmış boş petek ilave edildi. Çok az besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-002,15,2026-04-01,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Kalabalık. Herşey yolunda. Besleme yapıldı. 1/1 şurup ile,uretim,,,,,,yüksek,
KOL-002,15,2026-04-06,8,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,1 Temel Petek ilave. Besleme Yapıldı. Varroa,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-002,15,2026-04-09,8,,,,,kristalize bal,1,timol,,,,0,0,0,0,0,,,,,,0,Kristalize bal ile beslendi. Timol,uretim,,,,,,yüksek,
KOL-003,19,2025-04-22,12,,,,,1/1 şurup,1,,,,,0,1,0,0,0,,,,,,0,Bölündü (2-8) - 1 petek ve şurup verildi.,uretim,,,2-8,KOL-018;KOL-015,parent_split,yüksek,
KOL-003,19,2025-04-23,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,1 Temel Petek verildi. Güçlü. Besleme yapıldı,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-003,19,2025-04-25,7,,,,,1/1 şurup,1,vetorax,,,,0,0,0,0,0,,,,,,0,3 Yeni petek var kabartılıyor. Çift besleme yapıldı. Yeni petek verilmedi. Varroa Vetorax.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-003,19,2025-04-28,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Filizkıran rüzgarı sebebi ile yalnızca hızlıca besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-003,19,2025-05-05,8,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,kontrol edilmeli,0,Bir çıta ilave yapıldı. 15'inci kovandan alınan hafif kabarmış petek verildi. Önceki şurubu almamış. Soğuklu alakalı gibi. Bir dahaki kontrolde ana kontrolü yapılmalı.,uretim,,,,,,yüksek,
KOL-003,19,2025-05-07,8,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,Şurubu tüketmiş. Yeni şurup verildi. Kabartıyor. Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-003,19,2025-05-10,8,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,Beslendi varroa,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-003,19,2025-05-14,7,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,1 Çıta temel petek aldım. Besleme . Varroa,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-003,19,2025-05-20,7,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,Beslendi. Varroa. Kabartmış.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-003,19,2025-05-24,8,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,1 Kara petek ilave. Ballı. Beslendi.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-003,19,2025-05-27,8,,,yavru var,,,0,,,,,0,0,0,0,0,,,,,,0,Yavru var. Petekler düzeltildi.,uretim,,,,,,yüksek,
KOL-003,19,2025-06-02,8,,,günlük var; kapalı yavru var,,,0,timol,,,,0,0,0,0,0,,1,,,yumurtluyor,0,Beslenmedi. Kapalı ve günlükler var. 5 Çıta güçlü. 3 çıta boş. Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-003,19,2025-06-08,8,,,,,fondan,1,,,,,0,0,0,0,0,,,,,,0,Fondon verildi.,uretim,,,,,,yüksek,
KOL-003,19,2025-06-14,8,,,yavru var,,,0,timol,,,,0,0,0,0,0,,,,,,0,Yavru var. İyi görünüyor. Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-003,19,2025-06-19,8,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-003,19,2025-06-26,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Son 2 petek boş gibi. Fakat güçlü kapalı yavru görünüyor Bir petek 1 e aktarıldı. Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-003,19,2025-07-05,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-003,19,2025-07-10,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-003,19,2025-07-24,8,,,,,,0,,,,,0,0,0,0,0,,,,,,0,1 Temel İlave Kabartıyor. Sırlıyor. Balı var.,uretim,,,,,,yüksek,
KOL-003,19,2025-08-04,6,2,,,,,0,,,,,0,0,0,0,0,,,,,,0,Yavru güçlü. 2 ÇITA BAL alındı.,uretim,,,,,,yüksek,
KOL-003,19,2025-08-19,6,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,İyi durumda yavrulu ballı. Varroa. Alt Kapak Takıldı.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-003,19,2025-09-07,6,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,İyi durumda. Sıkışık. Varroa 1. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-003,19,2025-09-10,6,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 2. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-003,19,2025-09-13,6,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 3. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-003,19,2025-10-13,6,,,,,,0,,,,,0,0,0,0,0,,,,,,0,Fena değil,kis,,,,,,yüksek,
KOL-003,19,2025-11-13,6,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Çuval invert şurup,kis,,,,,,yüksek,
KOL-003,19,2025-11-17,6,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İnvert Şurup,kis,,,,,,yüksek,
KOL-003,19,2025-11-22,6,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İnvert Şurup,kis,,,,,,yüksek,
KOL-003,19,2026-01-13,6,,,,,,0,oksalik asit damlatma,,,,0,0,0,0,0,,,,,,0,Oksalik asit damlatma,kis,,,,,,yüksek,
KOL-003,19,2026-01-20,6,,,,,,0,oksalik asit sprey,,,,0,0,0,0,0,,,,,,0,Oksalik Asit sprey,kis,,,,,,yüksek,
KOL-003,19,2026-02-24,6,,,kapalı yavru var,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Kapalı yavru var.  1/1 şerbet ile besleme yapıldı.,kis,,,,,,yüksek,
KOL-003,19,2026-02-25,6,,,,,,0,,,,,0,0,0,0,0,,,,,,0,Kapak nemi pürmüz ile kurutuldu.,kis,,,,,,yüksek,
KOL-003,19,2026-03-07,6,,,kapalı yavru var,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Kapalı yavru var.  1/1 şerbet ile besleme yapıldı.,uretim,,,,,,yüksek,
KOL-003,19,2026-03-10,6,,,kapalı yavru var,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Kapalı yavru var.  1/1 şerbet ile besleme yapıldı.,uretim,,,,,,yüksek,
KOL-003,19,2026-03-12,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,40 dan 1 yavrulu çıta verildi. Az besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-003,19,2026-04-01,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Kalabalık. Herşey yolunda. Besleme yapıldı. 1/1 şurup ile,uretim,,,,,,yüksek,
KOL-003,19,2026-04-06,8,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,1 Temel Petek ilave. Besleme Yapıldı. Varroa,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-003,19,2026-04-09,9,,,,,kristalize bal,1,timol,,,,0,0,0,0,0,,,,,,0,karakovan çıta verildi Dalak yapmış. Gayet iyi. Kristalize bal ile beslendi. Timol,uretim,,,,,,yüksek,
KOL-004,25 (Eski 20),2025-04-22,6,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,1 petek ve şurup verildi. Bölünmedi.,uretim,,,,,,yüksek,
KOL-004,25 (Eski 20),2025-04-23,6,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-004,25 (Eski 20),2025-04-25,7,,,,,1/1 şurup,1,vetorax,,,,0,0,0,0,0,,,,,,0,1 Yeni temel petek verildi.ift besleme yapıldı.  Varroa Vetorax.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-004,25 (Eski 20),2025-04-28,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İşlem yapılmadı. Ortaya kova ile şerbet konuldu.,uretim,,,,,,yüksek,
KOL-004,25 (Eski 20),2025-05-07,7,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,Orta halli. Kabartıyor. Beslendi. Varroa.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-004,25 (Eski 20),2025-05-10,8,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,Beslendi. Varroa. 1 Karakovan eklendi.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-004,25 (Eski 20),2025-05-14,7,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,1 Karakovan çıta aldım. Besleme. Varroa.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-004,25 (Eski 20),2025-05-20,8,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,1 Kabarmış petek ilave. Beslem varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-004,25 (Eski 20),2025-05-24,9,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,1 Petek ilave. Beslendi.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-004,25 (Eski 20),2025-05-27,9,,,,,,0,,,,,0,0,0,0,0,,,,,,0,İyi durumda. Bir dahaki kontrolde kat atılabilir.,uretim,,,,,,yüksek,
KOL-004,25 (Eski 20),2025-06-02,14,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,Kat atıldı. 1 Temel petek. Gerisi kabarmış. Beslendi. İyi görünüyor. Varroa.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-004,25 (Eski 20),2025-06-08,12,,,,,,0,,,,,0,1,0,0,0,,,,,,0,Bölündü. (5),uretim,,,5,KOL-025,parent_split,yüksek,
KOL-004,25 (Eski 20),2025-06-14,7,,,,,,0,timol,,,,0,0,0,0,0,,,kapalı,,,0,Hatalı bölme. Ana bölmede 5'e  gitmiş. Kat alındı. Kapalı ana gözleri imha edildi. Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-004,25 (Eski 20),2025-06-19,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-004,25 (Eski 20),2025-06-26,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-004,25 (Eski 20),2025-07-05,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-004,25 (Eski 20),2025-07-10,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-004,25 (Eski 20),2025-07-24,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-004,25 (Eski 20),2025-08-04,7,,,,,,0,,,,,0,0,0,0,0,,,,,,0,İyi durumda.Yavrulu.,uretim,,,,,,yüksek,
KOL-004,25 (Eski 20),2025-08-19,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Yavrulu iyi durumda. Varroa. Alt Kapak Takıldı.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-004,25 (Eski 20),2025-09-07,7,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Normal durumda. Karınca dolu. Varroa 1. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-004,25 (Eski 20),2025-09-10,7,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 2. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-004,25 (Eski 20),2025-09-13,7,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 3. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-004,25 (Eski 20),2025-10-13,7,,,,,,0,,,,,0,0,0,0,0,,,,,,0,fena değil,kis,,,,,,yüksek,
KOL-004,25 (Eski 20),2025-11-13,7,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Çuval invert şurup,kis,,,,,,yüksek,
KOL-004,25 (Eski 20),2025-11-17,7,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İnvert Şurup,kis,,,,,,yüksek,
KOL-004,25 (Eski 20),2025-11-22,7,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İnvert Şurup,kis,,,,,,yüksek,
KOL-004,25 (Eski 20),2026-01-13,7,,,,,,0,oksalik asit damlatma,,,,0,0,0,0,0,,,,,,0,Oksalik asit damlatma,kis,,,,,,yüksek,
KOL-004,25 (Eski 20),2026-01-20,7,,,,,,0,oksalik asit sprey,,,,0,0,0,0,0,,,,,,0,Oksalik Asit sprey,kis,,,,,,yüksek,
KOL-004,25 (Eski 20),2026-02-24,7,,,kapalı yavru var,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Kapalı yavru var.  1/1 şerbet ile besleme yapıldı. Kalabalık. Fakat kovanda çok nem var. Kovan değişmeli.,kis,,,,,,yüksek,
KOL-004,25 (Eski 20),2026-02-25,7,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,25 No'lu kovan ile değiştirildi. Az besleme yapıldı.,kis,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-004,25 (Eski 20),2026-03-07,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Az besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-004,25 (Eski 20),2026-03-10,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Az besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-004,25 (Eski 20),2026-03-12,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Herhangi bir işlem yapılmadı. Çok az besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-004,25 (Eski 20),2026-04-01,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Kalabalık. Herşey yolunda. Besleme yapıldı. 1/1 şurup ile,uretim,,,,,,yüksek,
